File, room, poi, comment
PHOTO_0457.jpg,k-level-1,https://nav.fosdem.org/l/c:1:147.26:292.26/,
PHOTO_0458.jpg,k-level-1,https://nav.fosdem.org/l/c:1:135.1:266.14/,
PHOTO_0460.jpg,k1-staircase,https://nav.fosdem.org/l/c:2:135.25:290.03/,
PHOTO_0461.jpg,k1-staircase,https://nav.fosdem.org/l/c:2:136.13:291.66/,
PHOTO_0462.jpg,k3-hallway,https://nav.fosdem.org/l/c:3:126.99:292.29/,
PHOTO_0463.jpg,k3-hallway,https://nav.fosdem.org/l/c:3:127.55:283.37/,
PHOTO_0464.jpg,,,one of K devrooms - unclear
R0017456.JPG,,https://nav.fosdem.org/l/c:1:261.9:225.14/,near entrance F side parking
R0017457.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.73:213.11/,
R0017458.JPG,f-side-resto,https://nav.fosdem.org/l/c:1:266.26:212.28/,side entrance F
R0017459.JPG,,https://nav.fosdem.org/l/c:1:263.09:223.52/,entrance f side parking
R0017460.JPG,,https://nav.fosdem.org/l/c:1:262.35:231.59/,entrance f side parking
R0017475.JPG,,https://nav.fosdem.org/l/c:1:300.2:142.78/, between H and ND
R0017476.JPG,,,
R0017477.JPG,,,
R0017478.JPG,,,
R0017479.JPG,,,
R0017480.JPG,,,
R0017481.JPG,,,
R0017482.JPG,,,
R0017483.JPG,,,
R0017484.JPG,,,
R0017485.JPG,,,
R0017486.JPG,,,
R0017487.JPG,,,
R0017488.JPG,,,
R0017489.JPG,,,
R0017490.JPG,,,
R0017491.JPG,,,
R0017492.JPG,,,
R0017493.JPG,,,
R0017494.JPG,,,
R0017495.JPG,,,
R0017496.JPG,,,
R0017497.JPG,,,
R0017498.JPG,,,
R0017499.JPG,,,
R0017500.JPG,,,
R0017501.JPG,,,
R0017502.JPG,,,
R0017503.JPG,,,
R0017504.JPG,,,
R0017505.JPG,,,
R0017506.JPG,,,
R0017507.JPG,,,
R0017508.JPG,,,
R0017509.JPG,,,
R0017510.JPG,,,
R0017511.JPG,,,
R0017512.JPG,,,
R0017513.JPG,,,
R0017514.JPG,,,
R0017515.JPG,,,
R0017516.JPG,,,
R0017517.JPG,,,
R0017518.JPG,,,
R0017519.JPG,,,
R0017520.JPG,,,
R0017521.JPG,,,
R0017522.JPG,,,
R0017523.JPG,,,
R0017524.JPG,,,
R0017525.JPG,,,
R0017526.JPG,,,
R0017527.JPG,,,
R0017528.JPG,,,
R0017529.JPG,,,
R0017530.JPG,,,
R0017531.JPG,,,
R0017532.JPG,,,
R0017533.JPG,,,
R0017534.JPG,,,
R0017535.JPG,,,
R0017536.JPG,,,
R0017537.JPG,,,
R0017538.JPG,,,
R0017539.JPG,,,
R0017540.JPG,,,
R0017541.JPG,,,
R0017542.JPG,,,
R0017543.JPG,,,
R0017544.JPG,,,
R0017545.JPG,,,
R0017546.JPG,,,
R0017547.JPG,,,
R0017548.JPG,,,
R0017549.JPG,,,
R0017550.JPG,,,
R0017551.JPG,,,
R0017552.JPG,,,
R0017553.JPG,,,
R0017554.JPG,,,
R0017555.JPG,,,
R0017556.JPG,,,
R0017557.JPG,,,
R0017558.JPG,,,
R0017559.JPG,,,
R0017560.JPG,,,
R0017561.JPG,,,
R0017562.JPG,,,
R0017563.JPG,,,
R0017564.JPG,,,
R0017565.JPG,,,
R0017566.JPG,,,
R0017567.JPG,,,
R0017568.JPG,,,
R0017569.JPG,,,
R0017570.JPG,,,
R0017571.JPG,,,
R0017572.JPG,,,
R0017573.JPG,,,
R0017574.JPG,,,
R0017575.JPG,,,
R0017576.JPG,,,
R0017577.JPG,,,
R0017578.JPG,,,
R0017579.JPG,,,
R0017580.JPG,,,
R0017581.JPG,,,
R0017582.JPG,,,
R0017583.JPG,,,
R0017584.JPG,,,
R0017585.JPG,,,
R0017586.JPG,,,
R0017587.JPG,,,
R0017588.JPG,,,
R0017589.JPG,,,
R0017590.JPG,,,
R0017591.JPG,,,
R0017592.JPG,,,
R0017593.JPG,,,
R0017594.JPG,,,
R0017595.JPG,,,
R0017596.JPG,,,
R0017597.JPG,,,
R0017598.JPG,,,
R0017599.JPG,,,
R0017600.JPG,,,
R0017601.JPG,,,
R0017602.JPG,,,
R0017603.JPG,,,
R0017604.JPG,,,
R0017605.JPG,,,
R0017606.JPG,,,
R0017607.JPG,,,
R0017608.JPG,,,
R0017609.JPG,,,
R0017610.JPG,,,
R0017611.JPG,,,
R0017612.JPG,,,
R0017613.JPG,,,
R0017614.JPG,,,
R0017615.JPG,,,
R0017616.JPG,,,
R0017617.JPG,,,
R0017618.JPG,,,
R0017619.JPG,,,
R0017620.JPG,,,
R0017621.JPG,,,
R0017622.JPG,,,
R0017623.JPG,,,
R0017624.JPG,,,
R0017625.JPG,,,
R0017626.JPG,,,
R0017627.JPG,,,
R0017628.JPG,,,
R0017629.JPG,,,
R0017630.JPG,,,
R0017631.JPG,,,
R0017632.JPG,,,
R0017633.JPG,,,
R0017634.JPG,,,
R0017635.JPG,,,
R0017636.JPG,,,
R0017637.JPG,,,
R0017638.JPG,,,
R0017639.JPG,,,
R0017640.JPG,,,
R0017641.JPG,,,
R0017642.JPG,,,
R0017643.JPG,,,
R0017644.JPG,,,
R0017645.JPG,,,
R0017646.JPG,,,
R0017647.JPG,,,
R0017648.JPG,,,
R0017649.JPG,,,
R0017650.JPG,,,
R0017651.JPG,,,
R0017652.JPG,,,
R0017653.JPG,,,
R0017654.JPG,,,
R0017655.JPG,,,
R0017656.JPG,,,
R0017657.JPG,,,
R0017658.JPG,,,UC
R0017659.JPG,,,
R0017660.JPG,,,
R0017661.JPG,,,
R0017662.JPG,,,
R0017663.JPG,,,
R0017664.JPG,,,
R0017665.JPG,,,
R0017666.JPG,,,
R0017667.JPG,,,
R0017668.JPG,,,
R0017669.JPG,,,
R0017670.JPG,,,
R0017671.JPG,ub-2-hall,https://nav.fosdem.org/l/c:2:462.94:178.51/,
R0017672.JPG,ub-2-hall,https://nav.fosdem.org/l/c:2:467.2:182.27/,
R0017673.JPG,ub-2,https://nav.fosdem.org/l/c:2:494.78:184.74/,
R0017674.JPG,,,?
R0017675.JPG,ub2_stairs,https://nav.fosdem.org/l/c:2:458.9:184.42/,
R0017676.JPG,ub2_stairs,https://nav.fosdem.org/l/c:3:452.37:184.49/,
R0017677.JPG,ub-4-hall,https://nav.fosdem.org/l/c:4:452.75:178.85/,
R0017678.JPG,ub-4-hall,https://nav.fosdem.org/l/c:4:458.96:180.37/,
R0017679.JPG,ub4-stairs,https://nav.fosdem.org/l/c:4:459.09:184.3/,
R0017680.JPG,ub4_stairs34,https://nav.fosdem.org/l/c:4:452.88:183.66/,
R0017681.JPG,ub-4-hall,https://nav.fosdem.org/l/c:4:452.37:178.34/,
R0017682.JPG,ub-4-hall,https://nav.fosdem.org/l/c:4:466.0:180.37/,
R0017683.JPG,ub4-corridor,https://nav.fosdem.org/l/c:4:470.95:184.87/,
R0017684.JPG,ub4-corridor,https://nav.fosdem.org/l/c:4:478.93:185.44/,
R0017685.JPG,ub4136,https://nav.fosdem.org/l/c:4:470.81:174.86/,
R0017686.JPG,ub4136,https://nav.fosdem.org/l/c:4:478.67:173.53/,
R0017687.JPG,ub4136,https://nav.fosdem.org/l/c:4:478.48:173.02/,
R0017688.JPG,ub4-corridor,https://nav.fosdem.org/l/c:4:491.35:185.06/,in front of ub4130 not used by FOSDEM
R0017689.JPG,ub4132,https://nav.fosdem.org/l/c:4:480.07:173.34/,
R0017690.JPG,ub4132,https://nav.fosdem.org/l/c:4:487.8:173.53/,
R0017691.JPG,ub4136,https://nav.fosdem.org/l/c:4:470.94:178.22/,
R0017692.JPG,ub-to-ua,https://nav.fosdem.org/l/c:2:495.72:192.33/,
R0017693.JPG,ub-to-ua,https://nav.fosdem.org/l/c:2:493.27:192.52/,in front of UB2.128a (not used fosdem) and backdoor Henriot
R0017694.JPG,ua-to-ub,https://nav.fosdem.org/l/c:2:487.29:193.39/,?
R0017695.JPG,ua-to-ub,https://nav.fosdem.org/l/c:2:491.52:192.21/,hallway between UB and UA - opened at FOSDEM? probably only accessible way to henriot
R0017696.JPG,,,
R0017697.JPG,,,
R0017698.JPG,,,
R0017699.JPG,,,
R0017700.JPG,,,
R0017701.JPG,,,
R0017702.JPG,,,
R0017703.JPG,,,
R0017704.JPG,,,
R0017705.JPG,,,
R0017706.JPG,,,
R0017707.JPG,,,
R0017708.JPG,,,
R0017709.JPG,,,
R0017710.JPG,,,
R0017711.JPG,,,
R0017712.JPG,,,
R0017713.JPG,,,
R0017714.JPG,,,
R0017715.JPG,,,
R0017716.JPG,,,
R0017717.JPG,,,
R0017718.JPG,,,
R0017719.JPG,,,
R0017720.JPG,,,
R0017721.JPG,,,
R0017722.JPG,,,
R0017723.JPG,,,
R0017724.JPG,,,
R0017725.JPG,,,
R0017726.JPG,,,
R0017727.JPG,,,
R0017728.JPG,,,
R0017729.JPG,,,
R0017730.JPG,,,
R0017731.JPG,,,
R0017732.JPG,,,
R0017733.JPG,,,
R0017734.JPG,,,
R0017735.JPG,,,
R0017736.JPG,,,
R0017737.JPG,,,
R0017738.JPG,,,
R0017739.JPG,,,
R0017740.JPG,,,
R0017741.JPG,,,
R0017742.JPG,,,
R0017743.JPG,,,
R0017744.JPG,,,
R0017745.JPG,,,
R0017746.JPG,,,
R0017747.JPG,,,
R0017748.JPG,,,
R0017749.JPG,,,
R0017750.JPG,K3201,,
